Дата,Время,Команда_1,Команда_2,счёт,стадион
10.08.2014,18:30,Урал,ФК Краснодар,1:1 (0:1),ЕкатеринбургЦентральный стадион
10.08.2014,13:30,Динамо,Спартак,1:2 (1:1),ХимкиАрена Химки
09.08.2014,20:00,Терек,Рубин,1:1 (0:0),ГрозныйСтадион им. А.А. Кадырова
09.08.2014,17:00,Зенит,Торпедо,8:1 (3:0) *,Санкт-ПетербургСтадион Петровский
09.08.2014,13:30,Мордовия,ЦСКА,0:1 (0:0),СаранскСтадион Старт
08.08.2014,20:30,Кубань,ФК Ростов,2:2 (1:1),КраснодарСтадион Кубань
08.08.2014,20:00,Амкар,ФК Уфа,0:1 (0:0),ПермьСтадион Звезда
04.08.2014,20:00,Терек,Амкар,4:0 (0:0),ГрозныйСтадион им. А.А. Кадырова
03.08.2014,21:30,Локомотив,ФК Краснодар,0:0,МоскваСтадион Локомотив
03.08.2014,19:30,Кубань,ФК Уфа,2:0 (1:0),КраснодарСтадион Кубань
03.08.2014,16:30,Динамо,ФК Ростов,7:3 (4:2),ХимкиАрена Химки
02.08.2014,21:30,ЦСКА,Торпедо,4:1 (2:1),ХимкиАрена Химки
02.08.2014,19:00,Арсенал,Зенит,0:4 (0:3),ТулаСтадион Арсенал
02.08.2014,18:30,Урал,Мордовия,2:3 (1:2),ЕкатеринбургЦентральный стадион
01.08.2014,20:00,Рубин,Спартак,0:4 (0:1),КазаньЦентральный стадион
