Дата,Время,Команда_1,Команда_2,счёт,стадион
30.05.2015,15:30,ФК Уфа,Рубин,1:1 (1:0),ПермьСтадион Звезда
30.05.2015,13:30,Динамо,ФК Краснодар,1:1 (1:1),ХимкиАрена Химки
30.05.2015,13:30,Зенит,Локомотив,1:0 (0:0),Санкт-ПетербургСтадион Петровский
30.05.2015,13:30,Кубань,Арсенал,5:1 (1:0),КраснодарСтадион Кубань
30.05.2015,13:30,Спартак,Амкар,3:3 (0:2),МоскваОткрытие Арена
30.05.2015,13:30,Терек,Урал,1:3 (1:2),ГрозныйСтадион им. А.А. Кадырова
30.05.2015,13:30,Торпедо,Мордовия,2:0 (1:0),МоскваСтадион им. Эдуарда Стрельцова
30.05.2015,13:30,ФК Ростов,ЦСКА,1:1 (1:0),Ростов-на-ДонуСтадион Олимп-2
25.05.2015,20:45,ЦСКА,Рубин,3:0 (1:0),ХимкиАрена Химки
25.05.2015,18:30,Локомотив,Кубань,1:1 (0:1),МоскваСтадион Локомотив
24.05.2015,18:30,Динамо,Арсенал,2:2 (1:1),ХимкиАрена Химки
24.05.2015,16:00,Мордовия,Терек,1:0 (0:0),СаранскСтадион Старт
24.05.2015,13:30,ФК Краснодар,ФК Ростов,2:1 (2:0),КраснодарСтадион Кубань
23.05.2015,18:00,Спартак,ФК Уфа,1:2 (1:2),МоскваОткрытие Арена
23.05.2015,15:30,Торпедо,Урал,3:1 (1:1) *,МоскваСтадион им. Эдуарда Стрельцова
23.05.2015,15:00,Амкар,Зенит,1:0 (1:0),ПермьСтадион Звезда
18.05.2015,19:00,Урал,Динамо,2:1 (1:1),ТюменьСтадион Геолог
17.05.2015,18:30,ФК Краснодар,Торпедо,2:2 (1:0),КраснодарСтадион Кубань
17.05.2015,16:00,ФК Уфа,Зенит,1:1 (0:1),Санкт-ПетербургСтадион Петровский
17.05.2015,13:30,Спартак,ЦСКА,0:4 (0:3),МоскваОткрытие Арена
16.05.2015,19:00,Локомотив,Рубин,3:0 (1:0),МоскваСтадион Локомотив
16.05.2015,16:30,Арсенал,Терек,1:1 (1:1),ТулаСтадион Арсенал
16.05.2015,16:00,Амкар,Кубань,1:0 (1:0),ПермьСтадион Звезда
15.05.2015,19:00,Мордовия,ФК Ростов,0:0,СаранскСтадион Старт
11.05.2015,18:30,ФК Краснодар,Амкар,1:1 (1:1),КраснодарСтадион Кубань
11.05.2015,16:00,Мордовия,Арсенал,1:0 (1:0),СаранскСтадион Старт
11.05.2015,13:30,Терек,Спартак,4:2 (0:1),ГрозныйСтадион им. А.А. Кадырова
10.05.2015,18:30,Зенит,ФК Ростов,3:0 (2:0),Санкт-ПетербургСтадион Петровский
10.05.2015,16:00,Динамо,Торпедо,0:0,ХимкиАрена Химки
10.05.2015,13:30,Локомотив,ЦСКА,1:3 (1:1),МоскваСтадион Локомотив
08.05.2015,19:00,Рубин,Кубань,1:0 (0:0),КазаньСтадион Рубин
08.05.2015,18:30,Урал,ФК Уфа,1:1 (0:1),ТюменьСтадион Геолог
04.05.2015,18:00,ЦСКА,Урал,3:1 (1:0),ХимкиАрена Химки
04.05.2015,15:30,Арсенал,ФК Краснодар,0:3 (0:1),МоскваСтадион Локомотив
04.05.2015,15:00,ФК Уфа,Мордовия,1:2 (1:1),ПермьСтадион Звезда
03.05.2015,18:30,Торпедо,Рубин,2:2 (0:1) *,МоскваСтадион им. Эдуарда Стрельцова
03.05.2015,18:00,Амкар,Локомотив,1:1 (0:0),ПермьСтадион Звезда
03.05.2015,13:30,Кубань,Динамо,1:2 (1:0),КраснодарСтадион Кубань
02.05.2015,19:00,ФК Ростов,Терек,0:1 (0:0),Ростов-на-ДонуСтадион Олимп-2
02.05.2015,13:30,Спартак,Зенит,1:1 (0:0),МоскваОткрытие Арена
26.04.2015,18:30,Зенит,Арсенал,1:0 (1:0),Санкт-ПетербургСтадион Петровский
26.04.2015,16:00,ФК Ростов,Динамо,2:2 (0:1),Ростов-на-ДонуСтадион Олимп-2
26.04.2015,13:30,Спартак,Рубин,1:0 (0:0),МоскваОткрытие Арена
25.04.2015,19:00,ФК Краснодар,Локомотив,1:0 (1:0),КраснодарСтадион Кубань
25.04.2015,16:00,Торпедо,ЦСКА,0:2 (0:0) *,РаменскоеСтадион Сатурн
25.04.2015,15:00,Амкар,Терек,2:1 (1:1),ПермьСтадион Звезда
24.04.2015,19:00,Мордовия,Урал,2:1 (0:1),СаранскСтадион Старт
24.04.2015,15:00,ФК Уфа,Кубань,3:2 (1:0),ПермьСтадион Звезда
20.04.2015,19:30,ФК Ростов,Торпедо,1:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
20.04.2015,19:00,Амкар,Арсенал,0:1 (0:0),ПермьСтадион Звезда
19.04.2015,18:30,Кубань,Зенит,0:0,КраснодарСтадион Кубань
19.04.2015,16:00,Терек,Динамо,0:0,ГрозныйСтадион им. Султана Билимханова
19.04.2015,13:30,ЦСКА,ФК Краснодар,1:1 (1:0),ХимкиАрена Химки
18.04.2015,19:00,Рубин,Урал,2:1 (1:0),КазаньСтадион Рубин
18.04.2015,16:00,Мордовия,Спартак,1:3 (0:0),СаранскСтадион Старт
18.04.2015,15:00,ФК Уфа,Локомотив,1:0 (0:0),ПермьСтадион Звезда
13.04.2015,19:30,ФК Ростов,Спартак,2:1 (1:1),Ростов-на-ДонуСтадион Олимп-2
13.04.2015,19:15,Амкар,ЦСКА,1:0 (0:0),ПермьСтадион Звезда
13.04.2015,18:00,Торпедо,Терек,0:0 *,РаменскоеСтадион Сатурн
13.04.2015,17:00,Урал,Локомотив,2:0 (1:0),ТюменьСтадион Геолог
12.04.2015,18:30,Динамо,Мордовия,2:1 (2:0),ХимкиАрена Химки
12.04.2015,16:00,ФК Уфа,Арсенал,0:1 (0:1),СаранскСтадион Старт
12.04.2015,13:30,Зенит,Рубин,1:1 (0:1),Санкт-ПетербургСтадион Петровский
11.04.2015,19:00,ФК Краснодар,Кубань,3:2 (1:1),КраснодарСтадион Кубань
09.04.2015,20:00,ФК Ростов,ФК Уфа,2:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
09.04.2015,17:45,Арсенал,Спартак,1:0 (0:0),ТулаСтадион Арсенал
08.04.2015,20:30,ЦСКА,Динамо,1:2 (1:2),ХимкиАрена Химки
08.04.2015,20:00,Локомотив,Торпедо,2:0 (0:0),МоскваСтадион Локомотив
08.04.2015,19:00,Кубань,Урал,0:2 (0:1),КраснодарСтадион Кубань
08.04.2015,17:45,Терек,Зенит,1:2 (1:1),ГрозныйСтадион им. А.А. Кадырова
07.04.2015,20:00,Рубин,ФК Краснодар,1:2 (1:1),КазаньСтадион Рубин
07.04.2015,17:45,Мордовия,Амкар,1:0 (1:0),СаранскСтадион Старт
05.04.2015,20:15,Арсенал,Торпедо,1:3 (0:1),ТулаСтадион Арсенал
05.04.2015,18:00,ФК Уфа,Терек,0:1 (0:0),СаранскСтадион Старт
05.04.2015,17:45,Урал,ФК Ростов,0:1 (0:0),ЕкатеринбургМанеж Урал
05.04.2015,13:30,Зенит,ЦСКА,2:1 (0:0),Санкт-ПетербургСтадион Петровский
04.04.2015,19:00,Спартак,Кубань,1:1 (1:0),МоскваОткрытие Арена
04.04.2015,16:45,ФК Краснодар,Мордовия,4:0 (1:0),КраснодарСтадион Кубань
04.04.2015,14:15,Динамо,Локомотив,2:2 (1:1),ХимкиАрена Химки
04.04.2015,14:00,Амкар,Рубин,0:3 (0:1),ПермьСтадион Звезда
22.03.2015,18:30,Кубань,Терек,1:0 (0:0),КраснодарСтадион Кубань
22.03.2015,16:00,Мордовия,Локомотив,0:0,СаранскСтадион Старт
22.03.2015,13:30,Динамо,Зенит,0:1 (0:1),ХимкиАрена Химки
21.03.2015,19:00,Торпедо,Спартак,0:1 (0:1),МоскваОткрытие Арена
21.03.2015,14:15,Арсенал,ЦСКА,1:4 (0:1) *,МоскваСтадион Локомотив МСА
21.03.2015,14:15,Рубин,ФК Ростов,2:0 (0:0),КазаньСтадион Рубин
21.03.2015,14:00,Урал,Амкар,1:0 (0:0),ЕкатеринбургМанеж Урал
20.03.2015,17:00,ФК Уфа,ФК Краснодар,0:2 (0:1),СаранскСтадион Старт
16.03.2015,19:00,ФК Ростов,Кубань,2:1 (0:0),Ростов-на-ДонуСтадион Олимп-2
15.03.2015,18:30,Рубин,Терек,2:1 (2:0),КазаньСтадион Рубин
15.03.2015,16:00,Торпедо,Зенит,1:1 (0:1),РаменскоеСтадион Сатурн
15.03.2015,13:30,Спартак,Динамо,1:0 (0:0),МоскваОткрытие Арена
14.03.2015,19:00,Локомотив,Арсенал,0:1 (0:0),МоскваСтадион Локомотив
14.03.2015,16:00,ЦСКА,Мордовия,4:0 (2:0),ХимкиАрена Химки
14.03.2015,13:00,ФК Уфа,Амкар,1:1 (0:0),СаранскСтадион Старт
13.03.2015,19:00,ФК Краснодар,Урал,1:1 (1:0),КраснодарСтадион Кубань
09.03.2015,18:00,Кубань,Мордовия,0:0,КраснодарСтадион Кубань
09.03.2015,15:30,Рубин,Арсенал,1:0 (1:0),КазаньСтадион Рубин
09.03.2015,15:00,Амкар,Торпедо,0:0,ПермьСтадион Звезда
08.03.2015,18:30,ФК Ростов,Локомотив,0:1 (0:0),Ростов-на-ДонуСтадион Олимп-2
08.03.2015,16:00,Динамо,ФК Уфа,3:1 (2:1),ХимкиАрена Химки
08.03.2015,13:30,Спартак,ФК Краснодар,1:3 (0:0),МоскваОткрытие Арена
07.03.2015,19:00,Зенит,Урал,3:0 (1:0),Санкт-ПетербургСтадион Петровский
07.03.2015,16:00,Терек,ЦСКА,1:2 (0:1),ГрозныйСтадион им. Султана Билимханова
08.12.2014,20:00,Спартак,Урал,2:0 (0:0),МоскваОткрытие Арена
08.12.2014,19:00,ФК Ростов,Арсенал,0:1 (0:1),Ростов-на-ДонуСтадион Олимп-2
08.12.2014,17:00,Мордовия,Рубин,0:1 (0:1),СаранскСтадион Старт
08.12.2014,17:00,Торпедо,ФК Уфа,2:2 (1:2),МоскваСтадион им. Эдуарда Стрельцова
07.12.2014,16:00,Динамо,Амкар,5:0 (1:0),ХимкиАрена Химки
07.12.2014,13:30,Терек,Локомотив,0:0,ГрозныйСтадион им. А.А. Кадырова
06.12.2014,19:00,Кубань,ЦСКА,0:1 (0:1),КраснодарСтадион Кубань
06.12.2014,16:45,Зенит,ФК Краснодар,4:0 (1:0),Санкт-ПетербургСтадион Петровский
04.12.2014,19:45,Спартак,ФК Ростов,1:1 (0:0),МоскваОткрытие Арена
04.12.2014,17:45,Мордовия,Динамо,0:1 (0:1),СаранскСтадион Старт
03.12.2014,20:00,Кубань,ФК Краснодар,1:1 (0:1),КраснодарСтадион Кубань
03.12.2014,20:00,Терек,Торпедо,0:1 (0:1),ГрозныйСтадион им. А.А. Кадырова
03.12.2014,19:00,Локомотив,Урал,1:0 (0:0),МоскваСтадион Локомотив
03.12.2014,17:45,Рубин,Зенит,0:1 (0:0),КазаньКазань-Арена
02.12.2014,19:00,Арсенал,ФК Уфа,0:1 (0:1),ТулаСтадион Арсенал
02.12.2014,19:00,ЦСКА,Амкар,2:1 (0:1),ХимкиАрена Химки
30.11.2014,18:30,Терек,ФК Краснодар,0:1 (0:1),ГрозныйСтадион им. А.А. Кадырова
30.11.2014,16:00,Рубин,Динамо,1:1 (1:0),КазаньКазань-Арена
30.11.2014,13:30,Локомотив,Спартак,1:0 (0:0),МоскваСтадион Локомотив
29.11.2014,20:15,Кубань,Торпедо,1:1 (1:1),КраснодарСтадион Кубань
29.11.2014,18:00,Мордовия,Зенит,1:0 (1:0),СаранскСтадион Старт
29.11.2014,15:45,ЦСКА,ФК Уфа,5:0 (2:0),ХимкиАрена Химки
29.11.2014,13:30,Арсенал,Урал,1:2 (0:2),ТулаСтадион Арсенал
28.11.2014,19:00,ФК Ростов,Амкар,1:1 (1:1),Ростов-на-ДонуСтадион Олимп-2
24.11.2014,19:00,Локомотив,ФК Уфа,0:0,МоскваСтадион Локомотив
23.11.2014,18:30,Спартак,Мордовия,4:2 (3:1),МоскваОткрытие Арена
23.11.2014,16:00,Арсенал,Амкар,4:0 (1:0),ТулаСтадион Арсенал
23.11.2014,13:30,Динамо,Терек,3:0 (2:0),ХимкиАрена Химки
22.11.2014,19:00,Зенит,Кубань,1:0 (1:0),Санкт-ПетербургСтадион Петровский
22.11.2014,16:30,ФК Краснодар,ЦСКА,2:1 (2:1),КраснодарСтадион Кубань
22.11.2014,14:15,Торпедо,ФК Ростов,2:1 (1:0),МоскваСтадион им. Эдуарда Стрельцова
22.11.2014,14:00,Урал,Рубин,1:3 (0:1),ЕкатеринбургЦентральный стадион
09.11.2014,18:00,Спартак,Арсенал,2:0 (2:0),МоскваОткрытие Арена
09.11.2014,17:00,ФК Уфа,ФК Ростов,0:0,ПермьСтадион Звезда
09.11.2014,15:45,ФК Краснодар,Рубин,2:0 (1:0),КраснодарСтадион Кубань
09.11.2014,13:30,Динамо,ЦСКА,1:0 (0:0),ХимкиАрена Химки
08.11.2014,19:00,Зенит,Терек,1:3 (0:1),Санкт-ПетербургСтадион Петровский
08.11.2014,16:00,Торпедо,Локомотив,0:1 (0:0),РаменскоеСтадион Сатурн
08.11.2014,15:00,Амкар,Мордовия,0:1 (0:0),ПермьСтадион Звезда
07.11.2014,19:00,Урал,Кубань,0:1 (0:1),ЕкатеринбургЦентральный стадион
03.11.2014,19:00,Терек,ФК Уфа,1:0 (1:0),ГрозныйСтадион им. А.А. Кадырова
03.11.2014,16:30,Рубин,Амкар,1:1 (0:0),КазаньКазань-Арена
03.11.2014,14:00,Торпедо,Арсенал,0:1 (0:0),РаменскоеСтадион Сатурн
02.11.2014,19:00,Кубань,Спартак,3:3 (0:1),КраснодарСтадион Кубань
02.11.2014,16:30,Мордовия,ФК Краснодар,2:1 (0:1),СаранскСтадион Старт
02.11.2014,13:30,Локомотив,Динамо,4:2 (0:1),МоскваСтадион Локомотив
01.11.2014,16:00,ЦСКА,Зенит,0:1 (0:1),ХимкиАрена Химки
31.10.2014,19:00,ФК Ростов,Урал,1:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
27.10.2014,20:30,Динамо,Рубин,0:2 (0:0),ХимкиАрена Химки
27.10.2014,18:45,ФК Краснодар,Терек,2:0 (0:0),КраснодарСтадион Кубань
26.10.2014,19:00,Зенит,Мордовия,5:0 (0:0),Санкт-ПетербургСтадион Петровский
26.10.2014,15:30,ФК Уфа,ЦСКА,3:3 (1:1),ПермьСтадион Звезда
26.10.2014,13:30,Спартак,Локомотив,1:1 (0:0),МоскваОткрытие Арена
25.10.2014,17:00,Торпедо,Кубань,0:0,РаменскоеСтадион Сатурн
25.10.2014,16:00,Амкар,ФК Ростов,2:0 (1:0),ПермьСтадион Звезда
24.10.2014,19:00,Урал,Арсенал,1:0 (1:0),ЕкатеринбургМанеж Урал
30.04.2015,19:00,Амкар,Динамо,2:0 (2:0) *,ПермьСтадион Звезда
20.10.2014,19:30,Рубин,Мордовия,5:0 (1:0),КазаньКазань-Арена
20.10.2014,19:00,ФК Уфа,Торпедо,1:1 (1:0),УфаСтадион Динамо
19.10.2014,16:30,Арсенал,ФК Ростов,1:1 (0:1),ТулаСтадион Арсенал
19.10.2014,15:30,Урал,Спартак,2:0 (1:0),ЕкатеринбургЦентральный стадион
18.10.2014,19:30,Локомотив,Терек,2:1 (1:1),МоскваСтадион Локомотив
18.10.2014,17:00,ФК Краснодар,Зенит,2:2 (2:1),КраснодарСтадион Кубань
18.10.2014,14:30,ЦСКА,Кубань,6:0 (2:0),ХимкиАрена Химки
29.09.2014,20:00,Рубин,Торпедо,2:1 (0:1),КазаньКазань-Арена
28.09.2014,21:00,Терек,ФК Ростов,2:1 (1:1),ГрозныйСтадион им. А.А. Кадырова
28.09.2014,18:30,ФК Краснодар,Арсенал,3:0 (1:0),КраснодарСтадион Кубань
28.09.2014,16:00,Локомотив,Амкар,3:1 (0:0),МоскваСтадион Локомотив
28.09.2014,13:30,Динамо,Кубань,2:2 (2:0),ХимкиАрена Химки
27.09.2014,18:30,Зенит,Спартак,0:0,Санкт-ПетербургСтадион Петровский
27.09.2014,16:00,Мордовия,ФК Уфа,0:2 (0:0),СаранскСтадион Старт
27.09.2014,15:30,Урал,ЦСКА,3:4 (1:2),ЕкатеринбургЦентральный стадион
22.09.2014,20:00,Торпедо,Динамо,1:3 (1:1),РаменскоеСтадион Сатурн
22.09.2014,19:00,Амкар,ФК Краснодар,1:2 (1:1),ПермьСтадион Звезда
21.09.2014,13:30,ЦСКА,Локомотив,1:0 (1:0),ХимкиАрена Химки
20.09.2014,20:00,Спартак,Терек,1:1 (0:1),МоскваОткрытие Арена
20.09.2014,17:00,Кубань,Рубин,2:1 (2:1),КраснодарСтадион Кубань
20.09.2014,14:30,ФК Ростов,Зенит,0:5 (0:2),Ростов-на-ДонуСтадион Олимп-2
20.09.2014,14:00,ФК Уфа,Урал,0:1 (0:1),УфаСтадион Динамо
19.09.2014,20:00,Арсенал,Мордовия,0:1 (0:0),ТулаСтадион Арсенал
15.09.2014,20:00,Терек,Кубань,0:0,ГрозныйСтадион им. А.А. Кадырова
15.09.2014,19:00,Амкар,Урал,2:1 (2:1),ПермьСтадион Звезда
14.09.2014,19:00,ФК Краснодар,ФК Уфа,0:2 (0:1),КраснодарСтадион Кубань
14.09.2014,13:30,Спартак,Торпедо,3:1 (1:0),МоскваОткрытие Арена
13.09.2014,21:00,ФК Ростов,Рубин,1:2 (1:2),Ростов-на-ДонуСтадион Олимп-2
13.09.2014,18:30,Зенит,Динамо,3:2 (2:1),Санкт-ПетербургСтадион Петровский
13.09.2014,16:00,Локомотив,Мордовия,1:1 (0:1),МоскваСтадион Локомотив
13.09.2014,13:30,ЦСКА,Арсенал,2:1 (1:0),ХимкиАрена Химки
31.08.2014,20:15,ФК Краснодар,Динамо,0:2 (0:1),КраснодарСтадион Кубань
31.08.2014,18:00,Локомотив,Зенит,0:1 (0:0),МоскваСтадион Локомотив
31.08.2014,16:00,Рубин,ФК Уфа,1:1 (1:0),КазаньКазань-Арена
31.08.2014,13:30,ЦСКА,ФК Ростов,6:0 (1:0),ХимкиАрена Химки
30.08.2014,20:00,Арсенал,Кубань,0:1 (0:0),ТулаСтадион Арсенал
30.08.2014,19:00,Амкар,Спартак,2:0 (1:0),ПермьСтадион Звезда
30.08.2014,14:00,Мордовия,Торпедо,1:0 (1:0),СаранскСтадион Старт
29.08.2014,20:00,Урал,Терек,0:1 (0:0),ЕкатеринбургЦентральный стадион
24.08.2014,21:30,ФК Ростов,Мордовия,2:1 (0:0),Ростов-на-ДонуСтадион Олимп-2
24.08.2014,19:30,Кубань,Локомотив,2:1 (2:0),КраснодарСтадион Кубань
24.08.2014,16:30,Торпедо,ФК Краснодар,0:3 (0:0),РаменскоеСтадион Сатурн
24.08.2014,13:30,Динамо,Урал,2:0 (2:0),ХимкиАрена Химки
23.08.2014,20:00,Рубин,ЦСКА,2:1 (1:1),КазаньКазань-Арена
23.08.2014,17:00,Зенит,Амкар,2:0 (2:0),Санкт-ПетербургСтадион Петровский
23.08.2014,16:00,ФК Уфа,Спартак,1:2 (0:2),ПермьСтадион Звезда
22.08.2014,20:00,Терек,Арсенал,3:0 (3:0),ГрозныйСтадион им. А.А. Кадырова
18.08.2014,21:00,Кубань,Амкар,1:0 (0:0),КраснодарСтадион Кубань
18.08.2014,20:00,Терек,Мордовия,1:0 (0:0),ГрозныйСтадион им. А.А. Кадырова
17.08.2014,21:00,ФК Ростов,ФК Краснодар,0:2 (0:1),Ростов-на-ДонуСтадион Олимп-2
17.08.2014,18:30,Рубин,Локомотив,1:1 (1:1),КазаньКазань-Арена
17.08.2014,16:00,Арсенал,Динамо,1:2 (0:2),ТулаСтадион Арсенал
17.08.2014,13:30,ЦСКА,Спартак,0:1 (0:0),ХимкиАрена Химки
16.08.2014,20:00,Зенит,ФК Уфа,1:0 (1:0) *,Санкт-ПетербургСтадион Петровский
16.08.2014,19:00,Урал,Торпедо,0:2 (0:0),ЕкатеринбургЦентральный стадион
15.08.2014,20:00,Мордовия,Кубань,0:0,СаранскСтадион Старт
14.08.2014,21:00,ФК Краснодар,Спартак,4:0 (1:0),КраснодарСтадион Кубань
14.08.2014,18:30,Локомотив,ФК Ростов,2:1 (2:0),МоскваСтадион Локомотив
13.08.2014,20:00,Арсенал,Рубин,0:0,ТулаСтадион Арсенал
13.08.2014,20:00,ЦСКА,Терек,1:0 (1:0),ХимкиАрена Химки
13.08.2014,19:30,Урал,Зенит,1:2 (1:1),ЕкатеринбургЦентральный стадион
13.08.2014,17:00,ФК Уфа,Динамо,0:2 (0:1),УфаСтадион Динамо
12.08.2014,20:00,Торпедо,Амкар,1:1 (1:0),РаменскоеСтадион Сатурн
10.08.2014,19:30,Арсенал,Локомотив,0:2 (0:0),ТулаСтадион Арсенал
