Дата,Время,Команда_1,Команда_2,счёт,стадион
10.04.2016,16:30,ФК Уфа,Терек,1:0 (1:0),УфаСтадион Нефтяник
09.04.2016,19:30,Рубин,Динамо,4:1 (3:1),КазаньКазань-Арена
09.04.2016,16:30,Амкар,Зенит,0:2 (0:1),ПермьСтадион Звезда
09.04.2016,13:30,ЦСКА,Мордовия,7:1 (5:0),ХимкиАрена Химки
08.04.2016,19:00,Анжи,ФК Ростов,0:0,КаспийскАнжи-Арена
04.04.2016,19:30,Динамо,ФК Краснодар,1:4 (1:1),ХимкиАрена Химки
04.04.2016,19:00,Мордовия,Крылья Советов,1:2 (0:1) *,СаранскСтадион Старт
03.04.2016,19:30,Зенит,ЦСКА,2:0 (0:0),Санкт-ПетербургСтадион Петровский
03.04.2016,17:00,Локомотив,Рубин,1:0 (0:0),МоскваСтадион Локомотив
02.04.2016,19:30,ФК Ростов,Спартак,2:0 (2:0),Ростов-на-ДонуСтадион Олимп-2
02.04.2016,17:00,Кубань,Амкар,1:1 (1:0),КраснодарСтадион Кубань
02.04.2016,14:30,Терек,Анжи,3:2 (2:2),ГрозныйСтадион им. А.А. Кадырова
02.04.2016,14:00,Урал,ФК Уфа,1:0 (1:0),ЕкатеринбургСКБ-Банк Арена
20.03.2016,19:30,ФК Краснодар,Локомотив,1:2 (0:1),КраснодарСтадион Кубань
20.03.2016,17:00,Рубин,Мордовия,1:1 (0:1),КазаньКазань-Арена
20.03.2016,14:30,Крылья Советов,Зенит,0:2 (0:2),СаранскСтадион Старт
19.03.2016,19:30,ЦСКА,Кубань,2:0 (1:0),ХимкиАрена Химки
19.03.2016,17:00,Терек,Урал,1:1 (1:1),ГрозныйСтадион им. А.А. Кадырова
19.03.2016,16:30,ФК Уфа,Динамо,0:1 (0:1),УфаСтадион Нефтяник
18.03.2016,19:30,Анжи,Спартак,0:4 (0:2),КаспийскАнжи-Арена
18.03.2016,19:00,Амкар,ФК Ростов,0:0,ПермьСтадион Звезда
14.03.2016,19:00,Динамо,Терек,0:1 (0:0),ХимкиАрена Химки
13.03.2016,19:30,Зенит,Рубин,4:2 (2:0),Санкт-ПетербургСтадион Петровский
13.03.2016,17:00,Локомотив,ФК Уфа,2:0 (0:0),МоскваСтадион Локомотив
13.03.2016,14:30,Мордовия,ФК Краснодар,0:1 (0:1),СаранскСтадион Старт
12.03.2016,19:30,ФК Ростов,ЦСКА,2:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
12.03.2016,17:00,Спартак,Амкар,2:1 (0:1),МоскваОткрытие Арена
12.03.2016,16:30,Урал,Анжи,4:2 (2:1),ЕкатеринбургСКБ-Банк Арена
11.03.2016,19:00,Кубань,Крылья Советов,2:0 (0:0),КраснодарСтадион Кубань
07.03.2016,17:00,Анжи,Амкар,0:1 (0:1),КаспийскАнжи-Арена
07.03.2016,16:30,Урал,Динамо,1:1 (0:0),ЕкатеринбургСКБ-Банк Арена
06.03.2016,19:30,ЦСКА,Спартак,1:0 (1:0),ХимкиАрена Химки
06.03.2016,17:00,Терек,Локомотив,2:1 (2:1),ГрозныйСтадион им. А.А. Кадырова
