Дата,Время,Команда_1,Команда_2,счёт,стадион
13.05.2018,16:00,Амкар,Ахмат,0:0,ПермьСтадион Звезда
13.05.2018,16:00,ФК Уфа,ФК Тосно,5:0 (2:0),УфаСтадион Нефтяник
13.05.2018,14:00,Арсенал,Локомотив,2:0 (1:0),ТулаСтадион Арсенал
13.05.2018,14:00,Зенит,СКА-Хабаровск,6:0 (3:0),Санкт-ПетербургСтадион Санкт-Петербург
13.05.2018,14:00,Спартак,Динамо,0:1 (0:1),МоскваОткрытие Арена
13.05.2018,14:00,ФК Краснодар,Рубин,1:1 (0:0),КраснодарСтадион ФК Краснодар
13.05.2018,14:00,ФК Ростов,Урал,1:0 (0:0),Ростов-на-ДонуРостов-Арена
13.05.2018,14:00,ЦСКА,Анжи,2:1 (1:1),МоскваАрена ЦСКА
07.05.2018,19:30,Анжи,Ахмат,0:2 (0:1),КаспийскАнжи-Арена
07.05.2018,19:30,Рубин,ФК Уфа,0:0,КазаньКазань-Арена
06.05.2018,19:00,ЦСКА,Арсенал,6:0 (5:0),МоскваАрена ЦСКА
06.05.2018,16:00,Урал,Амкар,0:2 (0:1),ЕкатеринбургЦентральный стадион
05.05.2018,19:00,Спартак,ФК Ростов,2:0 (0:0),МоскваОткрытие Арена
05.05.2018,18:00,СКА-Хабаровск,ФК Краснодар,0:1 (0:1),ХабаровскСтадион им. Ленина
05.05.2018,16:30,Локомотив,Зенит,1:0 (0:0),МоскваРЖД Арена
05.05.2018,14:00,ФК Тосно,Динамо,1:2 (0:0),Санкт-ПетербургСтадион Петровский
30.04.2018,19:00,ФК Краснодар,Локомотив,2:0 (0:0),КраснодарСтадион ФК Краснодар
30.04.2018,16:30,Ахмат,Урал,0:0,ГрозныйАхмат-Арена
30.04.2018,14:00,Динамо,Рубин,0:0,ХимкиАрена Химки
30.04.2018,13:30,ФК Уфа,СКА-Хабаровск,1:0 (1:0),УфаСтадион Нефтяник
29.04.2018,19:00,ФК Ростов,ФК Тосно,2:0 (0:0),Ростов-на-ДонуРостов-Арена
29.04.2018,16:30,Зенит,ЦСКА,0:0,Санкт-ПетербургСтадион Санкт-Петербург
29.04.2018,16:00,Амкар,Спартак,0:2 (0:1),ПермьСтадион Звезда
28.04.2018,19:30,Арсенал,Анжи,2:1 (1:1),ТулаСтадион Арсенал
23.04.2018,19:30,Спартак,Ахмат,1:3 (0:2),МоскваОткрытие Арена
22.04.2018,19:00,Локомотив,ФК Уфа,0:0,МоскваРЖД Арена
22.04.2018,18:00,СКА-Хабаровск,Динамо,0:1 (0:0),ХабаровскСтадион им. Ленина
22.04.2018,16:30,ФК Тосно,Амкар,0:2 (0:1),Санкт-ПетербургСтадион Петровский
22.04.2018,16:30,ЦСКА,ФК Краснодар,2:1 (0:0),МоскваАрена ЦСКА
22.04.2018,14:00,Арсенал,Зенит,3:3 (2:1),ТулаСтадион Арсенал
21.04.2018,19:00,Анжи,Урал,0:1 (0:0),КаспийскАнжи-Арена
21.04.2018,16:30,Рубин,ФК Ростов,1:1 (1:0),КазаньЦентральный стадион
15.04.2018,19:00,ФК Ростов,СКА-Хабаровск,2:0 (1:0),Ростов-на-ДонуРостов-Арена
15.04.2018,18:30,ФК Уфа,ЦСКА,1:1 (1:0),УфаСтадион Нефтяник
15.04.2018,16:00,Урал,Спартак,2:1 (1:0),ЕкатеринбургЦентральный стадион
14.04.2018,19:00,ФК Краснодар,Арсенал,3:0 (2:0),КраснодарСтадион ФК Краснодар
14.04.2018,16:30,Зенит,Анжи,1:0 (1:0),Санкт-ПетербургСтадион Санкт-Петербург
14.04.2018,14:00,Динамо,Локомотив,0:4 (0:2),ХимкиАрена Химки
14.04.2018,13:30,Амкар,Рубин,0:3 (0:2),ПермьСтадион Звезда
13.04.2018,19:30,Ахмат,ФК Тосно,1:0 (0:0),ГрозныйАхмат-Арена
09.04.2018,19:30,ЦСКА,Динамо,1:2 (0:1),МоскваАрена ЦСКА
08.04.2018,19:00,Анжи,Спартак,1:4 (1:3),КаспийскАнжи-Арена
08.04.2018,16:30,Локомотив,ФК Ростов,1:0 (0:0),МоскваРЖД Арена
08.04.2018,14:00,ФК Тосно,Урал,2:2 (1:1),Санкт-ПетербургСтадион Петровский
07.04.2018,19:00,Арсенал,ФК Уфа,2:1 (1:1),ТулаСтадион Арсенал
07.04.2018,18:00,СКА-Хабаровск,Амкар,0:2 (0:1),ХабаровскСтадион им. Ленина
07.04.2018,16:30,Зенит,ФК Краснодар,1:2 (1:1),Санкт-ПетербургСтадион Санкт-Петербург
07.04.2018,14:00,Рубин,Ахмат,3:2 (0:1),КазаньЦентральный стадион
01.04.2018,19:00,ФК Краснодар,Анжи,1:1 (1:0),КраснодарСтадион ФК Краснодар
01.04.2018,19:00,ФК Ростов,ЦСКА,1:2 (0:1),Ростов-на-ДонуСтадион Олимп-2
01.04.2018,18:30,ФК Уфа,Зенит,1:2 (0:2),УфаСтадион Нефтяник
01.04.2018,16:00,Урал,Рубин,1:1 (0:1),ЕкатеринбургЦентральный стадион
31.03.2018,19:00,Спартак,ФК Тосно,2:1 (1:0),МоскваОткрытие Арена
31.03.2018,16:30,Динамо,Арсенал,2:1 (0:0),ХимкиАрена Химки
31.03.2018,14:00,Амкар,Локомотив,2:1 (0:1),МоскваРЖД Арена
31.03.2018,14:00,Ахмат,СКА-Хабаровск,0:0,ГрозныйАхмат-Арена
18.04.2018,20:30,ЦСКА,Амкар,3:0 (2:0) *,МоскваАрена ЦСКА
18.04.2018,19:30,Зенит,Динамо,2:1 (0:0) *,Санкт-ПетербургСтадион Санкт-Петербург
18.04.2018,19:30,Локомотив,Ахмат,0:0 *,МоскваРЖД Арена
17.03.2018,19:00,Анжи,ФК Тосно,2:0 (2:0),КаспийскАнжи-Арена
17.03.2018,19:00,Рубин,Спартак,1:2 (0:1) *,КазаньКазань-Арена
