Дата,Время,Команда_1,Команда_2,счёт,стадион
17.03.2018,18:00,СКА-Хабаровск,Урал,0:3 (0:1),ХабаровскСтадион им. Ленина
17.03.2018,16:30,ФК Краснодар,ФК Уфа,0:1 (0:0),КраснодарСтадион ФК Краснодар
17.03.2018,14:00,Арсенал,ФК Ростов,2:2 (1:2),ТулаСтадион Арсенал
12.03.2018,19:00,Урал,Локомотив,0:2 (0:2),ЕкатеринбургСКБ-Банк Арена
11.03.2018,19:00,Спартак,СКА-Хабаровск,1:0 (0:0),МоскваОткрытие Арена
11.03.2018,16:30,Ахмат,ЦСКА,0:3 (0:2),ГрозныйАхмат-Арена
11.03.2018,14:00,ФК Ростов,Зенит,0:0,Ростов-на-ДонуСтадион Олимп-2
10.03.2018,19:00,ФК Тосно,Рубин,0:1 (0:0),СаранскСтадион Старт
10.03.2018,16:30,Динамо,ФК Краснодар,0:0,ХимкиАрена Химки
10.03.2018,16:00,ФК Уфа,Анжи,3:2 (0:0),УфаСтадион Нефтяник
09.03.2018,16:00,Амкар,Арсенал,0:2 (0:1),УфаСтадион Нефтяник
04.03.2018,19:00,Арсенал,Ахмат,1:0 (0:0),ТулаСтадион Арсенал
04.03.2018,18:00,СКА-Хабаровск,ФК Тосно,0:1 (0:0),ХабаровскСтадион им. Ленина
04.03.2018,16:30,Локомотив,Спартак,0:0,МоскваРЖД Арена
04.03.2018,16:00,ФК Уфа,Динамо,1:1 (0:1),УфаСтадион Нефтяник
03.03.2018,19:00,ФК Краснодар,ФК Ростов,3:1 (1:1),КраснодарСтадион ФК Краснодар
03.03.2018,16:30,Зенит,Амкар,0:0,Санкт-ПетербургСтадион Санкт-Петербург
03.03.2018,14:00,ЦСКА,Урал,1:0 (0:0),МоскваАрена ЦСКА
02.03.2018,19:30,Анжи,Рубин,1:1 (0:1),КаспийскАнжи-Арена
11.12.2017,19:30,Ахмат,Зенит,0:0,ГрозныйАхмат-Арена
11.12.2017,19:30,ФК Тосно,Локомотив,1:3 (0:1),Санкт-ПетербургСтадион Петровский
10.12.2017,19:00,ФК Ростов,ФК Уфа,1:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
10.12.2017,16:30,Спартак,ЦСКА,3:0 (1:0),МоскваОткрытие Арена
10.12.2017,16:00,Амкар,ФК Краснодар,1:3 (0:2),ПермьСтадион Звезда
09.12.2017,16:30,Рубин,СКА-Хабаровск,3:1 (2:0),КазаньКазань-Арена
09.12.2017,14:00,Динамо,Анжи,2:0 (1:0),ХимкиАрена Химки
08.12.2017,19:30,Урал,Арсенал,1:1 (1:0),ЕкатеринбургСКБ-Банк Арена
03.12.2017,19:00,Анжи,СКА-Хабаровск,4:0 (3:0),КаспийскАнжи-Арена
03.12.2017,16:30,ФК Краснодар,Ахмат,3:2 (0:2),КраснодарСтадион ФК Краснодар
03.12.2017,16:00,ФК Уфа,Амкар,3:0 (0:0),УфаСтадион Нефтяник
02.12.2017,16:30,Локомотив,Рубин,1:0 (0:0),МоскваРЖД Арена
02.12.2017,14:00,Динамо,ФК Ростов,2:0 (2:0),ХимкиАрена Химки
02.12.2017,14:00,Зенит,Урал,2:1 (1:1),Санкт-ПетербургСтадион Санкт-Петербург
01.12.2017,19:30,Арсенал,Спартак,0:1 (0:0),ТулаСтадион Арсенал
01.12.2017,19:30,ЦСКА,ФК Тосно,6:0 (3:0),МоскваАрена ЦСКА
27.11.2017,19:30,Спартак,Зенит,3:1 (2:1),МоскваОткрытие Арена
27.11.2017,19:00,СКА-Хабаровск,Локомотив,1:2 (1:1),ХабаровскСтадион им. Ленина
26.11.2017,16:30,ФК Ростов,Анжи,2:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
26.11.2017,14:00,Рубин,ЦСКА,0:1 (0:1),КазаньКазань-Арена
26.11.2017,13:30,Урал,ФК Краснодар,0:1 (0:1),ЕкатеринбургСКБ-Банк Арена
25.11.2017,19:00,Ахмат,ФК Уфа,2:1 (1:0),ГрозныйАхмат-Арена
25.11.2017,16:30,ФК Тосно,Арсенал,3:2 (0:1),Санкт-ПетербургСтадион Петровский
24.11.2017,19:30,Амкар,Динамо,2:1 (0:0),ПермьСтадион Звезда
19.11.2017,19:00,Зенит,ФК Тосно,5:0 (1:0),Санкт-ПетербургСтадион Санкт-Петербург
19.11.2017,16:30,ФК Ростов,Амкар,0:0,Ростов-на-ДонуСтадион Олимп-2
19.11.2017,14:00,Анжи,Локомотив,0:1 (0:1),КаспийскАнжи-Арена
19.11.2017,13:30,ФК Уфа,Урал,2:0 (1:0),УфаСтадион Нефтяник
18.11.2017,19:00,Арсенал,Рубин,0:0,ТулаСтадион Арсенал
18.11.2017,19:00,СКА-Хабаровск,ЦСКА,2:4 (1:1),ХабаровскСтадион им. Ленина
18.11.2017,16:30,ФК Краснодар,Спартак,1:4 (0:2),КраснодарСтадион ФК Краснодар
18.11.2017,14:00,Динамо,Ахмат,1:1 (0:1),ХимкиАрена Химки
05.11.2017,19:00,Рубин,Зенит,0:0,КазаньКазань-Арена
05.11.2017,19:00,Спартак,ФК Уфа,3:1 (1:1),МоскваОткрытие Арена
05.11.2017,18:00,СКА-Хабаровск,Арсенал,1:2 (1:1),ХабаровскСтадион им. Ленина
05.11.2017,16:30,Локомотив,ЦСКА,2:2 (1:2),МоскваРЖД Арена
05.11.2017,16:00,Амкар,Анжи,1:2 (1:2),ПермьСтадион Звезда
04.11.2017,19:00,Ахмат,ФК Ростов,1:0 (0:0),ГрозныйАхмат-Арена
04.11.2017,16:30,ФК Тосно,ФК Краснодар,1:3 (1:3),Санкт-ПетербургСтадион Петровский
03.11.2017,19:30,Урал,Динамо,2:2 (1:0),ЕкатеринбургСКБ-Банк Арена
30.10.2017,19:30,Ахмат,Анжи,1:1 (0:0),ГрозныйАхмат-Арена
30.10.2017,19:00,ФК Уфа,Рубин,2:1 (1:1),УфаСтадион Нефтяник
29.10.2017,19:00,ФК Краснодар,СКА-Хабаровск,4:1 (2:0),КраснодарСтадион ФК Краснодар
29.10.2017,16:30,Зенит,Локомотив,0:3 (0:0),Санкт-ПетербургСтадион Санкт-Петербург
29.10.2017,14:00,Динамо,ФК Тосно,0:1 (0:1),ХимкиАрена Химки
29.10.2017,13:30,Амкар,Урал,1:1 (1:0),ПермьСтадион Звезда
28.10.2017,19:00,ФК Ростов,Спартак,2:2 (1:2),Ростов-на-ДонуСтадион Олимп-2
27.10.2017,19:30,Арсенал,ЦСКА,1:0 (0:0),ТулаСтадион Арсенал
23.10.2017,19:30,Локомотив,ФК Краснодар,2:0 (1:0),МоскваРЖД Арена
22.10.2017,19:00,Анжи,Арсенал,3:2 (1:1),КаспийскАнжи-Арена
22.10.2017,16:30,ЦСКА,Зенит,0:0,МоскваАрена ЦСКА
22.10.2017,16:00,Урал,Ахмат,2:0 (1:0),ЕкатеринбургСКБ-Банк Арена
21.10.2017,19:00,Спартак,Амкар,0:0,МоскваОткрытие Арена
21.10.2017,18:30,СКА-Хабаровск,ФК Уфа,2:2 (2:0),ХабаровскСтадион им. Ленина
21.10.2017,16:30,Рубин,Динамо,0:0,КазаньКазань-Арена
21.10.2017,14:00,ФК Тосно,ФК Ростов,1:1 (1:0),Санкт-ПетербургСтадион Петровский
16.10.2017,19:30,Амкар,ФК Тосно,0:0,ПермьСтадион Звезда
15.10.2017,19:00,Зенит,Арсенал,0:1 (0:0),Санкт-ПетербургСтадион Санкт-Петербург
15.10.2017,16:30,ФК Ростов,Рубин,0:1 (0:0),Ростов-на-ДонуСтадион Олимп-2
15.10.2017,16:00,ФК Уфа,Локомотив,1:0 (0:0),УфаСтадион Нефтяник
14.10.2017,19:00,ФК Краснодар,ЦСКА,0:1 (0:1),КраснодарСтадион ФК Краснодар
14.10.2017,18:30,Урал,Анжи,2:1 (0:0),ЕкатеринбургСКБ-Банк Арена
14.10.2017,14:00,Динамо,СКА-Хабаровск,2:0 (1:0),ХимкиАрена Химки
13.10.2017,19:30,Ахмат,Спартак,1:2 (0:1),ГрозныйАхмат-Арена
01.10.2017,19:00,Анжи,Зенит,2:2 (1:0),КаспийскАнжи-Арена
01.10.2017,16:30,Локомотив,Динамо,3:0 (2:0),МоскваРЖД Арена
01.10.2017,14:00,ЦСКА,ФК Уфа,0:0,МоскваАрена ЦСКА
30.09.2017,19:00,Спартак,Урал,2:0 (1:0),МоскваОткрытие Арена
30.09.2017,18:30,СКА-Хабаровск,ФК Ростов,2:1 (1:1),ХабаровскСтадион им. Ленина
30.09.2017,16:30,Рубин,Амкар,0:1 (0:0),КазаньКазань-Арена
30.09.2017,14:00,ФК Тосно,Ахмат,1:0 (0:0),Санкт-ПетербургСтадион Петровский
29.09.2017,19:30,Арсенал,ФК Краснодар,1:0 (1:0),ТулаСтадион Арсенал
25.09.2017,19:30,Ахмат,Рубин,1:0 (0:0),ГрозныйСтадион им. Султана Билимханова
25.09.2017,19:00,Амкар,СКА-Хабаровск,3:0 (1:0),ПермьСтадион Звезда
24.09.2017,19:00,ФК Краснодар,Зенит,0:2 (0:2),КраснодарСтадион ФК Краснодар
24.09.2017,18:30,ФК Уфа,Арсенал,1:0 (0:0),УфаСтадион Нефтяник
24.09.2017,16:30,ФК Ростов,Локомотив,0:1 (0:0),Ростов-на-ДонуСтадион Олимп-2
24.09.2017,16:00,Урал,ФК Тосно,3:1 (2:0),ЕкатеринбургСКБ-Банк Арена
23.09.2017,19:00,Спартак,Анжи,2:2 (1:0),МоскваОткрытие Арена
23.09.2017,16:30,Динамо,ЦСКА,0:0,ХимкиАрена Химки
18.09.2017,20:00,Зенит,ФК Уфа,3:0 (2:0),Санкт-ПетербургСтадион Санкт-Петербург
18.09.2017,19:30,Локомотив,Амкар,0:1 (0:1),МоскваРЖД Арена
17.09.2017,18:00,СКА-Хабаровск,Ахмат,2:2 (1:0),ХабаровскСтадион им. Ленина
17.09.2017,16:30,Рубин,Урал,0:1 (0:0),КазаньКазань-Арена
17.09.2017,13:00,ФК Тосно,Спартак,2:2 (0:1),Санкт-ПетербургСтадион Петровский
16.09.2017,19:00,Анжи,ФК Краснодар,1:5 (0:1),КаспийскАнжи-Арена
16.09.2017,16:30,ЦСКА,ФК Ростов,2:0 (1:0),МоскваАрена ЦСКА
15.09.2017,19:30,Арсенал,Динамо,1:0 (1:0),ТулаСтадион Арсенал
11.09.2017,19:30,Урал,СКА-Хабаровск,1:1 (0:0),ЕкатеринбургСКБ-Банк Арена
10.09.2017,19:00,Ахмат,Локомотив,1:1 (0:0),ГрозныйАхмат-Арена
10.09.2017,18:30,ФК Уфа,ФК Краснодар,0:1 (0:0),УфаСтадион Нефтяник
10.09.2017,14:00,Динамо,Зенит,0:0,ХимкиАрена Химки
09.09.2017,19:00,Спартак,Рубин,1:0 (0:0),МоскваОткрытие Арена
09.09.2017,16:30,ФК Ростов,Арсенал,2:2 (1:1),Ростов-на-ДонуСтадион Олимп-2
09.09.2017,14:00,ФК Тосно,Анжи,2:2 (1:2),Санкт-ПетербургСтадион Петровский
08.09.2017,19:30,Амкар,ЦСКА,0:1 (0:0),ПермьСтадион Звезда
27.08.2017,20:00,Зенит,ФК Ростов,0:0,Санкт-ПетербургСтадион Санкт-Петербург
27.08.2017,20:00,ФК Краснодар,Динамо,2:0 (1:0),КраснодарСтадион ФК Краснодар
27.08.2017,18:00,СКА-Хабаровск,Спартак,0:0,ХабаровскСтадион им. Ленина
27.08.2017,17:30,ЦСКА,Ахмат,0:1 (0:1),МоскваАрена ЦСКА
26.08.2017,20:00,Локомотив,Урал,2:1 (1:1),МоскваРЖД Арена
26.08.2017,17:30,Рубин,ФК Тосно,1:0 (1:0),КазаньКазань-Арена
26.08.2017,15:00,Арсенал,Амкар,0:1 (0:1),ТулаСтадион Арсенал
25.08.2017,20:00,Анжи,ФК Уфа,1:0 (1:0),КаспийскАнжи-Арена
21.08.2017,20:00,Ахмат,Арсенал,1:2 (0:1),ГрозныйАхмат-Арена
20.08.2017,20:00,ФК Ростов,ФК Краснодар,0:0,Ростов-на-ДонуСтадион Олимп-2
20.08.2017,17:30,Динамо,ФК Уфа,1:1 (0:1),ХимкиАрена Химки
20.08.2017,17:00,Амкар,Зенит,0:1 (0:0),ПермьСтадион Звезда
19.08.2017,20:00,Рубин,Анжи,6:0 (3:0),КазаньКазань-Арена
19.08.2017,17:30,Спартак,Локомотив,3:4 (2:0),МоскваОткрытие Арена
19.08.2017,17:00,Урал,ЦСКА,0:0,ЕкатеринбургСКБ-Банк Арена
18.08.2017,19:30,ФК Тосно,СКА-Хабаровск,0:0,Санкт-ПетербургСтадион Петровский
14.08.2017,19:30,Арсенал,Урал,2:2 (2:1),ТулаСтадион Арсенал
13.08.2017,20:00,Зенит,Ахмат,4:0 (1:0),Санкт-ПетербургСтадион Санкт-Петербург
13.08.2017,20:00,ФК Краснодар,Амкар,1:1 (1:0),КраснодарСтадион ФК Краснодар
13.08.2017,18:00,СКА-Хабаровск,Рубин,1:1 (0:0),ХабаровскСтадион им. Ленина
13.08.2017,17:30,Локомотив,ФК Тосно,0:2 (0:0),МоскваРЖД Арена
12.08.2017,20:00,Анжи,Динамо,1:3 (1:2),КаспийскАнжи-Арена
12.08.2017,17:30,ЦСКА,Спартак,2:1 (0:0),МоскваАрена ЦСКА
12.08.2017,17:00,ФК Уфа,ФК Ростов,1:4 (0:0),УфаСтадион Нефтяник
10.08.2017,20:00,Ахмат,ФК Краснодар,2:3 (0:0),ГрозныйАхмат-Арена
09.08.2017,20:00,Рубин,Локомотив,1:1 (0:0),КазаньКазань-Арена
09.08.2017,20:00,ФК Ростов,Динамо,1:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
09.08.2017,20:00,ФК Тосно,ЦСКА,1:2 (0:0),Санкт-ПетербургСтадион Петровский
09.08.2017,19:30,Спартак,Арсенал,2:0 (1:0),МоскваОткрытие Арена
09.08.2017,19:30,Урал,Зенит,1:1 (1:0),ЕкатеринбургСКБ-Банк Арена
08.08.2017,19:30,Амкар,ФК Уфа,0:0,ПермьСтадион Звезда
08.08.2017,18:00,СКА-Хабаровск,Анжи,2:0 (0:0),ХабаровскСтадион им. Ленина
06.08.2017,20:00,Зенит,Спартак,5:1 (2:0),Санкт-ПетербургСтадион Санкт-Петербург
06.08.2017,20:00,ФК Краснодар,Урал,1:1 (0:1),КраснодарСтадион ФК Краснодар
06.08.2017,17:30,ЦСКА,Рубин,1:2 (1:2),МоскваАрена ЦСКА
06.08.2017,15:00,Арсенал,ФК Тосно,1:2 (1:0),ТулаСтадион Арсенал
05.08.2017,20:00,Локомотив,СКА-Хабаровск,1:0 (0:0),МоскваРЖД Арена
05.08.2017,17:30,Динамо,Амкар,3:0 (0:0),ХимкиАрена Химки
05.08.2017,17:00,ФК Уфа,Ахмат,3:2 (0:0),УфаСтадион Нефтяник
04.08.2017,20:00,Анжи,ФК Ростов,0:1 (0:1),КаспийскАнжи-Арена
31.07.2017,19:30,Спартак,ФК Краснодар,2:0 (2:0),МоскваОткрытие Арена
30.07.2017,20:00,ФК Тосно,Зенит,0:1 (0:1),Санкт-ПетербургСтадион Петровский
30.07.2017,17:30,Локомотив,Анжи,1:0 (0:0),МоскваСтадион Локомотив
30.07.2017,17:00,Амкар,ФК Ростов,0:1 (0:0),ПермьСтадион Звезда
29.07.2017,20:00,Ахмат,Динамо,2:0 (0:0),ГрозныйАхмат-Арена
29.07.2017,17:30,Рубин,Арсенал,2:1 (0:1),КазаньКазань-Арена
29.07.2017,17:00,Урал,ФК Уфа,1:1 (0:1),ЕкатеринбургСКБ-Банк Арена
29.07.2017,15:00,ЦСКА,СКА-Хабаровск,2:0 (2:0),МоскваАрена ЦСКА
24.07.2017,19:30,Арсенал,СКА-Хабаровск,1:0 (1:0),ТулаСтадион Арсенал
23.07.2017,20:00,ФК Ростов,Ахмат,0:1 (0:0),Ростов-на-ДонуСтадион Олимп-2
23.07.2017,17:30,Динамо,Урал,0:1 (0:0),ХимкиАрена Химки
23.07.2017,17:00,ФК Уфа,Спартак,0:0,УфаСтадион Нефтяник
22.07.2017,20:00,ФК Краснодар,ФК Тосно,2:0 (0:0),КраснодарСтадион ФК Краснодар
22.07.2017,17:30,Зенит,Рубин,2:1 (0:1),Санкт-ПетербургСтадион Санкт-Петербург
21.07.2017,19:30,Анжи,Амкар,1:0 (1:0),КаспийскАнжи-Арена
21.07.2017,19:30,ЦСКА,Локомотив,1:3 (1:1),МоскваАрена ЦСКА
18.07.2017,19:30,Динамо,Спартак,2:2 (0:2),ХимкиАрена Химки
18.07.2017,19:30,Локомотив,Арсенал,1:0 (0:0),МоскваСтадион Локомотив
16.07.2017,21:30,Ахмат,Амкар,1:0 (1:0),ГрозныйАхмат-Арена
16.07.2017,18:00,СКА-Хабаровск,Зенит,0:2 (0:0),ХабаровскСтадион им. Ленина
16.07.2017,17:30,Рубин,ФК Краснодар,1:2 (0:2),КазаньКазань-Арена
15.07.2017,20:00,Анжи,ЦСКА,1:3 (0:1),КаспийскАнжи-Арена
15.07.2017,17:30,ФК Тосно,ФК Уфа,0:1 (0:0),Санкт-ПетербургСтадион Петровский
15.07.2017,17:00,Урал,ФК Ростов,1:1 (1:0),ЕкатеринбургСКБ-Банк Арена
