Дата,Время,Команда_1,Команда_2,счёт,стадион
15.05.2014,21:30,Томь,ФК Ростов,3:2 (1:0),ТомскСтадион Труд
15.05.2014,20:30,Амкар,ФК Краснодар,2:2 (1:1),ПермьСтадион Звезда
15.05.2014,18:30,Анжи,Крылья Советов,0:1 (0:0),КаспийскАнжи-Арена
15.05.2014,18:30,Волга,Урал,1:2 (0:1),Нижний НовгородСтадион Локомотив
15.05.2014,18:30,Кубань,Зенит,1:4 (0:2),КраснодарСтадион Кубань
15.05.2014,18:30,Рубин,Терек,1:1 (0:0),КазаньЦентральный стадион
15.05.2014,18:30,Спартак,Динамо,3:2 (0:1),МоскваСтадион Локомотив
15.05.2014,18:30,ЦСКА,Локомотив,1:0 (0:0),ХимкиАрена Химки
11.05.2014,20:15,ФК Ростов,Локомотив,2:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
11.05.2014,18:00,ФК Краснодар,Анжи,1:0 (1:0),КраснодарСтадион Кубань
11.05.2014,15:45,ЦСКА,Томь,2:0 (0:0),ХимкиАрена Химки
11.05.2014,13:30,Зенит,Динамо,0:3 *,Санкт-ПетербургСтадион Петровский
10.05.2014,20:00,Терек,Волга,2:0 (0:0),ГрозныйСтадион им. А.А. Кадырова
10.05.2014,17:45,Спартак,Амкар,1:0 (1:0),МоскваСтадион Локомотив
10.05.2014,15:15,Крылья Советов,Рубин,0:4 (0:1),СамараСтадион Металлург
10.05.2014,15:00,Урал,Кубань,2:1 (1:1),ЕкатеринбургЦентральный стадион
04.05.2014,19:00,Анжи,Терек,3:0 (2:0),КаспийскАнжи-Арена
04.05.2014,16:30,Рубин,Урал,1:0 (1:0),КазаньЦентральный стадион
04.05.2014,13:30,Локомотив,Зенит,1:1 (0:1),МоскваСтадион Локомотив
03.05.2014,19:00,Кубань,Крылья Советов,4:0 (0:0),КраснодарСтадион Кубань
03.05.2014,17:00,Томь,Спартак,2:1 (0:0),ТомскСтадион Труд
02.05.2014,19:00,ФК Ростов,Динамо,2:3 (0:2),Ростов-на-ДонуСтадион Олимп-2
02.05.2014,16:30,Волга,ФК Краснодар,0:1 (0:1),Нижний НовгородСтадион Локомотив
02.05.2014,16:00,Амкар,ЦСКА,1:3 (1:1),ПермьСтадион Звезда
