Дата,Время,Команда_1,Команда_2,счёт,стадион
05.03.2017,13:30,Урал,Амкар,1:0 (1:0),ЕкатеринбургСКБ-Банк Арена
04.03.2017,16:30,ЦСКА,Зенит,0:0,МоскваАрена ЦСКА
04.03.2017,16:00,ФК Оренбург,Арсенал,3:0 (2:0),ОренбургСтадион Газовик
03.03.2017,19:00,Томь,ФК Ростов,0:6 (0:2),Ростов-на-ДонуСтадион Олимп-2
05.12.2016,19:30,Арсенал,Анжи,1:0 (0:0),ТулаСтадион Арсенал
05.12.2016,19:30,Спартак,Рубин,2:1 (1:1),МоскваОткрытие Арена
05.12.2016,19:00,ФК Краснодар,Крылья Советов,1:1 (0:0),КраснодарСтадион ФК Краснодар
05.12.2016,16:00,Амкар,ФК Оренбург,3:0 (2:0),ПермьСтадион Звезда
05.12.2016,15:00,ФК Уфа,Томь,1:0 (0:0),УфаСтадион Нефтяник
04.12.2016,16:00,Локомотив,Терек,2:0 (1:0),МоскваСтадион Локомотив
03.12.2016,19:00,ФК Ростов,Зенит,0:0,Ростов-на-ДонуСтадион Олимп-2
03.12.2016,14:00,ЦСКА,Урал,4:0 (4:0),МоскваАрена ЦСКА
01.12.2016,20:30,Анжи,Амкар,3:1 (1:1),КаспийскАнжи-Арена
01.12.2016,19:30,Томь,Локомотив,1:6 (0:0),МоскваСтадион Локомотив
01.12.2016,19:00,Крылья Советов,Спартак,4:0 (2:0),СамараСтадион Металлург
01.12.2016,18:00,Терек,ФК Краснодар,2:1 (2:0),ГрозныйСтадион им. А.А. Кадырова
30.11.2016,19:30,Зенит,ФК Уфа,2:0 (0:0),Санкт-ПетербургСтадион Петровский
30.11.2016,19:30,ЦСКА,ФК Оренбург,2:0 (1:0),МоскваАрена ЦСКА
30.11.2016,19:00,Рубин,Арсенал,1:0 (0:0),КазаньКазань-Арена
30.11.2016,19:00,Урал,ФК Ростов,1:0 (1:0),ЕкатеринбургСКБ-Банк Арена
27.11.2016,19:00,ФК Краснодар,Зенит,2:1 (0:0),КраснодарСтадион ФК Краснодар
27.11.2016,16:30,ФК Ростов,Анжи,2:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
27.11.2016,15:00,Крылья Советов,Томь,3:0 (1:0),СамараСтадион Металлург
26.11.2016,18:00,Терек,Спартак,0:1 (0:1),ГрозныйСтадион им. А.А. Кадырова
26.11.2016,17:00,Локомотив,Урал,1:1 (0:0),МоскваСтадион Локомотив
26.11.2016,14:00,ЦСКА,Рубин,0:0,МоскваАрена ЦСКА
26.11.2016,13:30,Амкар,Арсенал,1:0 (1:0),ПермьСтадион Звезда
25.11.2016,19:00,ФК Уфа,ФК Оренбург,1:0 (1:0),УфаСтадион Нефтяник
21.11.2016,19:00,Терек,Томь,0:0,ГрозныйСтадион им. А.А. Кадырова
20.11.2016,19:30,Зенит,Крылья Советов,3:1 (2:1),Санкт-ПетербургСтадион Петровский
20.11.2016,17:00,Спартак,Амкар,1:0 (0:0),МоскваОткрытие Арена
20.11.2016,14:30,ФК Краснодар,Урал,3:0 (0:0),КраснодарСтадион ФК Краснодар
19.11.2016,17:00,Анжи,ФК Уфа,0:1 (0:0),КаспийскАнжи-Арена
19.11.2016,16:30,ФК Оренбург,Локомотив,1:1 (0:1),ОренбургСтадион Газовик
18.11.2016,19:30,Рубин,ФК Ростов,0:0,КазаньКазань-Арена
18.11.2016,19:00,Арсенал,ЦСКА,0:1 (0:1),ТулаСтадион Арсенал
06.11.2016,19:30,ФК Краснодар,ФК Оренбург,3:3 (2:3),КраснодарСтадион ФК Краснодар
06.11.2016,19:00,ЦСКА,Амкар,2:2 (2:2),МоскваАрена ЦСКА
06.11.2016,17:00,Терек,Зенит,2:1 (2:1),ГрозныйСтадион им. А.А. Кадырова
06.11.2016,17:00,ФК Ростов,Арсенал,4:1 (2:1),Ростов-на-ДонуСтадион Олимп-2
05.11.2016,18:30,Локомотив,Анжи,4:0 (2:0),МоскваСтадион Локомотив
05.11.2016,17:00,Крылья Советов,Урал,2:2 (1:1),СамараСтадион Металлург
05.11.2016,15:30,ФК Уфа,Рубин,2:3 (1:2),УфаСтадион Нефтяник
05.11.2016,15:00,Томь,Спартак,0:1 (0:1),ТомскСтадион Труд
31.10.2016,19:30,Рубин,Локомотив,2:0 (0:0),КазаньКазань-Арена
31.10.2016,19:00,ФК Оренбург,Крылья Советов,1:0 (0:0),ОренбургСтадион Газовик
30.10.2016,19:30,Анжи,ФК Краснодар,0:0,КаспийскАнжи-Арена
30.10.2016,17:00,Зенит,Томь,1:0 (1:0),Санкт-ПетербургСтадион Петровский
30.10.2016,14:30,Арсенал,ФК Уфа,0:2 (0:1),ТулаСтадион Арсенал
30.10.2016,14:00,Урал,Терек,1:4 (1:1),ЕкатеринбургСКБ-Банк Арена
29.10.2016,18:00,Спартак,ЦСКА,3:1 (1:0),МоскваОткрытие Арена
29.10.2016,17:30,Амкар,ФК Ростов,1:0 (1:0),ПермьСтадион Звезда
24.10.2016,19:30,Зенит,ФК Оренбург,1:0 (1:0),Санкт-ПетербургСтадион Петровский
23.10.2016,19:00,ФК Краснодар,Амкар,1:0 (1:0),КраснодарСтадион ФК Краснодар
23.10.2016,16:30,Локомотив,ЦСКА,1:0 (0:0),МоскваСтадион Локомотив
22.10.2016,19:30,Терек,Рубин,3:1 (1:1),ГрозныйСтадион им. А.А. Кадырова
22.10.2016,19:00,Урал,Спартак,0:1 (0:0),ЕкатеринбургСКБ-Банк Арена
22.10.2016,16:30,ФК Уфа,ФК Ростов,0:0,УфаСтадион Нефтяник
22.10.2016,16:00,Томь,Анжи,0:3 (0:0),ТомскСтадион Труд
21.10.2016,19:00,Крылья Советов,Арсенал,1:1 (1:1),СамараСтадион Металлург
17.10.2016,19:30,Анжи,Терек,0:0,КаспийскАнжи-Арена
16.10.2016,19:00,Арсенал,ФК Краснодар,0:0,ТулаСтадион Арсенал
16.10.2016,18:30,ФК Оренбург,Томь,3:1 (2:0),ОренбургСтадион Газовик
16.10.2016,16:00,Урал,Зенит,0:2 (0:1),ЕкатеринбургСКБ-Банк Арена
15.10.2016,19:30,Спартак,ФК Ростов,1:0 (0:0),МоскваОткрытие Арена
15.10.2016,17:00,Рубин,Крылья Советов,3:0 (1:0),КазаньКазань-Арена
15.10.2016,16:30,Амкар,Локомотив,0:0,ПермьСтадион Звезда
14.10.2016,19:30,ЦСКА,ФК Уфа,1:0 (1:0),МоскваАрена ЦСКА
02.10.2016,19:00,ФК Краснодар,Рубин,1:0 (1:0),КраснодарСтадион Кубань
02.10.2016,19:00,ФК Ростов,ЦСКА,2:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
02.10.2016,16:30,Зенит,Спартак,4:2 (2:2),Санкт-ПетербургСтадион Петровский
02.10.2016,16:00,ФК Уфа,Амкар,1:1 (0:0),УфаСтадион Нефтяник
01.10.2016,19:30,Терек,ФК Оренбург,2:1 (1:0),ГрозныйСтадион им. А.А. Кадырова
01.10.2016,17:00,Локомотив,Арсенал,1:1 (0:1),МоскваСтадион Локомотив
01.10.2016,16:00,Томь,Урал,1:1 (1:1),ТомскСтадион Труд
01.10.2016,15:30,Крылья Советов,Анжи,2:1 (2:0),СамараСтадион Металлург
26.09.2016,19:30,Рубин,Томь,2:1 (1:0),КазаньЦентральный стадион
26.09.2016,19:00,Амкар,Крылья Советов,0:0,ПермьСтадион Звезда
25.09.2016,19:30,Анжи,Зенит,2:2 (1:2),КаспийскАнжи-Арена
25.09.2016,17:00,Спартак,ФК Уфа,0:1 (0:1),МоскваОткрытие Арена
25.09.2016,14:30,Арсенал,Терек,0:0,ТулаСтадион Арсенал
25.09.2016,14:00,ФК Оренбург,Урал,0:1 (0:0),ОренбургСтадион Газовик
24.09.2016,21:30,ФК Ростов,Локомотив,1:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
24.09.2016,17:00,ЦСКА,ФК Краснодар,1:1 (1:1),МоскваАрена ЦСКА
19.09.2016,19:30,Зенит,Рубин,4:1 (1:0),Санкт-ПетербургСтадион Петровский
18.09.2016,20:00,ФК Краснодар,ФК Ростов,2:1 (0:1),КраснодарСтадион Кубань
18.09.2016,18:15,Крылья Советов,ЦСКА,1:2 (1:1),СамараСтадион Металлург
17.09.2016,19:00,Локомотив,ФК Уфа,0:1 (0:0),МоскваСтадион Локомотив
17.09.2016,19:00,Терек,Амкар,1:3 (1:1),ГрозныйСтадион им. А.А. Кадырова
17.09.2016,18:30,Урал,Анжи,0:1 (0:1),ЕкатеринбургСКБ-Банк Арена
17.09.2016,18:00,Томь,Арсенал,1:0 (1:0),ТомскСтадион Труд
16.09.2016,19:00,ФК Оренбург,Спартак,1:3 (1:1),ОренбургСтадион Газовик
12.09.2016,19:30,Рубин,Урал,3:1 (1:0),КазаньЦентральный стадион
11.09.2016,19:00,Арсенал,Зенит,0:5 (0:2),ТулаСтадион Арсенал
11.09.2016,16:30,Спартак,Локомотив,1:0 (1:0),МоскваОткрытие Арена
11.09.2016,16:00,ФК Уфа,ФК Краснодар,0:0,УфаСтадион Нефтяник
10.09.2016,20:30,ЦСКА,Терек,3:0 (2:0),МоскваАрена ЦСКА
10.09.2016,20:00,ФК Оренбург,Анжи,0:0,ОренбургСтадион Газовик
10.09.2016,17:30,Амкар,Томь,1:0 (0:0),ПермьСтадион Звезда
09.09.2016,20:00,ФК Ростов,Крылья Советов,2:1 (1:0),Ростов-на-ДонуСтадион Олимп-2
28.08.2016,21:30,Анжи,Спартак,0:2 (0:1),КаспийскАнжи-Арена
28.08.2016,19:15,Терек,ФК Ростов,2:1 (2:1),ГрозныйСтадион им. А.А. Кадырова
28.08.2016,19:15,ФК Краснодар,Локомотив,1:2 (0:1),КраснодарСтадион Кубань
28.08.2016,19:00,Урал,Арсенал,1:1 (0:0),ЕкатеринбургСКБ-Банк Арена
27.08.2016,19:30,Томь,ЦСКА,0:1 (0:0),ТомскСтадион Труд
27.08.2016,18:00,Зенит,Амкар,3:0 (2:0),Санкт-ПетербургСтадион Петровский
27.08.2016,15:00,ФК Оренбург,Рубин,1:1 (1:0),ОренбургСтадион Газовик
26.08.2016,19:30,Крылья Советов,ФК Уфа,0:1 (0:0),СамараСтадион Металлург
22.08.2016,19:30,Арсенал,ФК Оренбург,0:0,ТулаСтадион Арсенал
21.08.2016,20:30,Локомотив,Крылья Советов,0:0,МоскваСтадион Локомотив
21.08.2016,18:00,Спартак,ФК Краснодар,2:0 (1:0),МоскваОткрытие Арена
21.08.2016,17:30,Амкар,Урал,1:0 (0:0),ПермьСтадион Звезда
20.08.2016,21:30,ФК Ростов,Томь,3:0 (2:0),Ростов-на-ДонуСтадион Олимп-2
20.08.2016,17:00,Зенит,ЦСКА,1:1 (1:1),Санкт-ПетербургСтадион Петровский
20.08.2016,16:30,ФК Уфа,Терек,1:3 (0:0),УфаСтадион Нефтяник
19.08.2016,19:30,Рубин,Анжи,1:2 (1:1),КазаньЦентральный стадион
15.08.2016,19:30,ФК Оренбург,Амкар,0:0,ОренбургСтадион Газовик
14.08.2016,20:30,Терек,Локомотив,1:1 (1:1),ГрозныйСтадион им. А.А. Кадырова
14.08.2016,20:00,Анжи,Арсенал,1:0 (1:0),КаспийскАнжи-Арена
14.08.2016,19:30,Томь,ФК Уфа,1:0 (1:0),ТомскСтадион Труд
13.08.2016,20:30,Рубин,Спартак,1:1 (1:1),КазаньЦентральный стадион
13.08.2016,19:00,Крылья Советов,ФК Краснодар,1:1 (1:0),СамараСтадион Металлург
13.08.2016,17:30,Урал,ЦСКА,0:1 (0:0),ЕкатеринбургСКБ-Банк Арена
12.08.2016,19:30,Зенит,ФК Ростов,3:2 (0:2),Санкт-ПетербургСтадион Петровский
08.08.2016,19:30,Спартак,Крылья Советов,1:0 (0:0),МоскваОткрытие Арена
08.08.2016,19:30,ФК Краснодар,Терек,4:0 (1:0),КраснодарСтадион Кубань
07.08.2016,21:30,ФК Ростов,Урал,0:0,Ростов-на-ДонуСтадион Олимп-2
07.08.2016,19:00,Локомотив,Томь,2:2 (2:0),МоскваСтадион Локомотив
07.08.2016,18:30,Амкар,Анжи,2:0 (1:0),ПермьСтадион Звезда
07.08.2016,18:00,ФК Оренбург,ЦСКА,0:1 (0:0),ОренбургСтадион Газовик
06.08.2016,19:30,Арсенал,Рубин,1:0 (1:0),ТулаСтадион Арсенал
06.08.2016,19:00,ФК Уфа,Зенит,0:0,УфаСтадион Нефтяник
01.08.2016,19:30,Рубин,Амкар,0:0,КазаньЦентральный стадион
01.08.2016,19:30,ФК Краснодар,Томь,3:0 (1:0),КраснодарСтадион Кубань
31.07.2016,20:30,Терек,Крылья Советов,1:0 (0:0),ГрозныйСтадион им. А.А. Кадырова
31.07.2016,18:00,Спартак,Арсенал,4:0 (2:0),МоскваОткрытие Арена
31.07.2016,17:30,Урал,ФК Уфа,2:0 (2:0),ЕкатеринбургСКБ-Банк Арена
30.07.2016,21:30,ФК Ростов,ФК Оренбург,1:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
30.07.2016,20:00,Анжи,ЦСКА,0:0,КаспийскАнжи-Арена
30.07.2016,17:30,Зенит,Локомотив,0:0,Санкт-ПетербургСтадион Петровский
