Дата,Время,Команда_1,Команда_2,счёт,стадион
21.05.2017,19:00,Томь,ФК Краснодар,1:5 (0:3),ТомскСтадион Труд
21.05.2017,17:00,Амкар,Рубин,1:2 (0:2),ПермьСтадион Звезда
21.05.2017,17:00,ФК Оренбург,ФК Ростов,2:0 (0:0),ОренбургСтадион Газовик
21.05.2017,17:00,ФК Уфа,Урал,1:0 (1:0),УфаСтадион Нефтяник
21.05.2017,16:00,Крылья Советов,Терек,1:3 (0:1),СамараСтадион Металлург
21.05.2017,15:00,Арсенал,Спартак,3:0 (2:0),ТулаСтадион Арсенал
21.05.2017,15:00,Локомотив,Зенит,0:2 (0:1),МоскваСтадион Локомотив
21.05.2017,15:00,ЦСКА,Анжи,4:0 (3:0),МоскваАрена ЦСКА
17.05.2017,19:30,Анжи,ФК Ростов,1:2 (0:0),КаспийскАнжи-Арена
17.05.2017,19:30,Арсенал,Амкар,0:0,ТулаСтадион Арсенал
17.05.2017,19:30,Рубин,ЦСКА,0:2 (0:0),КазаньКазань-Арена
17.05.2017,19:30,Спартак,Терек,3:0 (2:0),МоскваОткрытие Арена
17.05.2017,19:30,ФК Оренбург,ФК Уфа,1:1 (0:0),ОренбургСтадион Газовик
17.05.2017,19:30,Зенит,ФК Краснодар,1:0 (1:0),Санкт-ПетербургСтадион Петровский
17.05.2017,19:30,Урал,Локомотив,1:2 (0:2),ЕкатеринбургСКБ-Банк Арена
17.05.2017,19:00,Томь,Крылья Советов,0:2 (0:1),ТомскСтадион Труд
14.05.2017,19:00,ФК Ростов,Рубин,4:2 (2:0),Ростов-на-ДонуСтадион Олимп-2
14.05.2017,18:30,ФК Уфа,Анжи,2:1 (1:1),УфаСтадион Нефтяник
14.05.2017,16:00,Томь,Терек,1:2 (0:0),ТомскСтадион Труд
13.05.2017,19:30,Локомотив,ФК Оренбург,4:0 (1:0),МоскваСтадион Локомотив
13.05.2017,17:00,Крылья Советов,Зенит,1:3 (0:3),СамараСтадион Металлург
13.05.2017,16:30,Амкар,Спартак,0:1 (0:0),ПермьСтадион Звезда
13.05.2017,14:00,Урал,ФК Краснодар,1:1 (1:0),ЕкатеринбургСКБ-Банк Арена
12.05.2017,19:30,ЦСКА,Арсенал,3:0 (2:0),МоскваАрена ЦСКА
08.05.2017,17:00,Анжи,Локомотив,0:0,КаспийскАнжи-Арена
08.05.2017,16:30,Урал,Крылья Советов,1:3 (1:0),ЕкатеринбургСКБ-Банк Арена
07.05.2017,19:00,Зенит,Терек,0:1 (0:0),Санкт-ПетербургСтадион Крестовский
07.05.2017,16:30,Рубин,ФК Уфа,2:1 (1:1),КазаньКазань-Арена
07.05.2017,16:00,ФК Оренбург,ФК Краснодар,1:0 (0:0),ОренбургСтадион Газовик
06.05.2017,19:00,Спартак,Томь,1:0 (1:0),МоскваОткрытие Арена
06.05.2017,16:30,Арсенал,ФК Ростов,1:0 (1:0),ТулаСтадион Арсенал
06.05.2017,16:00,Амкар,ЦСКА,0:2 (0:0),ПермьСтадион Звезда
01.05.2017,18:00,ФК Краснодар,Анжи,0:0,КраснодарСтадион ФК Краснодар
01.05.2017,17:00,Томь,Зенит,0:2 (0:1),ТомскСтадион Труд
01.05.2017,16:30,Крылья Советов,ФК Оренбург,1:1 (0:0),СамараСтадион Металлург
30.04.2017,19:30,ФК Ростов,Амкар,1:0 (0:0),Ростов-на-ДонуСтадион Олимп-2
30.04.2017,17:00,ЦСКА,Спартак,1:2 (1:1),МоскваАрена ЦСКА
30.04.2017,16:30,ФК Уфа,Арсенал,1:0 (0:0),УфаСтадион Нефтяник
29.04.2017,19:00,Терек,Урал,5:2 (1:1),ГрозныйСтадион им. А.А. Кадырова
29.04.2017,16:30,Локомотив,Рубин,0:1 (0:1),МоскваСтадион Локомотив
27.04.2017,19:30,Анжи,Томь,3:3 (1:1),КаспийскАнжи-Арена
27.04.2017,19:00,Амкар,ФК Краснодар,0:2 (0:0),ПермьСтадион Звезда
26.04.2017,19:30,Арсенал,Крылья Советов,2:0 (1:0),ТулаСтадион Арсенал
26.04.2017,19:30,Рубин,Терек,0:1 (0:1),КазаньКазань-Арена
26.04.2017,19:30,ЦСКА,Локомотив,4:0 (3:0),МоскваАрена ЦСКА
26.04.2017,19:00,ФК Оренбург,Зенит,0:1 (0:1),ОренбургСтадион Газовик
25.04.2017,19:30,Спартак,Урал,1:0 (1:0),МоскваОткрытие Арена
25.04.2017,19:30,ФК Ростов,ФК Уфа,1:0 (1:0),Ростов-на-ДонуСтадион Олимп-2
23.04.2017,17:00,ФК Краснодар,Арсенал,2:0 (0:0),КраснодарСтадион ФК Краснодар
23.04.2017,16:00,Томь,ФК Оренбург,1:2 (1:1),ТомскСтадион Труд
23.04.2017,15:30,Крылья Советов,Рубин,0:0,СамараСтадион Металлург
22.04.2017,19:00,Терек,Анжи,0:1 (0:1),ГрозныйСтадион им. А.А. Кадырова
22.04.2017,16:30,Локомотив,Амкар,3:3 (1:1),МоскваСтадион Локомотив
22.04.2017,16:30,ФК Ростов,Спартак,3:0 (2:0),Ростов-на-ДонуСтадион Олимп-2
22.04.2017,14:00,Зенит,Урал,2:0 (0:0),Санкт-ПетербургСтадион Крестовский
21.04.2017,19:00,ФК Уфа,ЦСКА,0:2 (0:0),УфаСтадион Нефтяник
16.04.2017,20:00,Спартак,Зенит,2:1 (1:0),МоскваОткрытие Арена
16.04.2017,17:30,Арсенал,Локомотив,0:3 (0:0),ТулаСтадион Арсенал
16.04.2017,17:00,Урал,Томь,1:0 (1:0),ЕкатеринбургСКБ-Банк Арена
16.04.2017,14:30,ФК Оренбург,Терек,2:1 (1:0),ОренбургСтадион Газовик
15.04.2017,19:30,Рубин,ФК Краснодар,0:1 (0:0),КазаньКазань-Арена
15.04.2017,17:00,Анжи,Крылья Советов,1:3 (0:2),КаспийскАнжи-Арена
15.04.2017,14:30,ЦСКА,ФК Ростов,0:0,МоскваАрена ЦСКА
15.04.2017,14:00,Амкар,ФК Уфа,1:1 (0:1),ПермьСтадион Звезда
10.04.2017,19:30,Урал,ФК Оренбург,2:0 (1:0),ЕкатеринбургСКБ-Банк Арена
10.04.2017,19:00,Томь,Рубин,2:2 (1:0),ТомскСтадион Труд
09.04.2017,19:00,Локомотив,ФК Ростов,0:0,МоскваСтадион Локомотив
09.04.2017,16:30,ФК Краснодар,ЦСКА,1:1 (0:0),КраснодарСтадион ФК Краснодар
09.04.2017,16:00,ФК Уфа,Спартак,1:3 (0:1),УфаСтадион Нефтяник
08.04.2017,19:00,Зенит,Анжи,1:1 (0:1),Санкт-ПетербургСтадион Петровский
08.04.2017,16:30,Терек,Арсенал,3:1 (2:0),ГрозныйСтадион им. А.А. Кадырова
08.04.2017,15:00,Крылья Советов,Амкар,2:2 (2:2),СамараСтадион Металлург
03.04.2017,19:30,ФК Ростов,ФК Краснодар,0:0,Ростов-на-ДонуСтадион Олимп-2
03.04.2017,19:30,Спартак,ФК Оренбург,3:2 (1:0),МоскваОткрытие Арена
02.04.2017,16:30,ЦСКА,Крылья Советов,2:1 (1:0),МоскваАрена ЦСКА
02.04.2017,15:30,Амкар,Терек,1:1 (1:1),ПермьСтадион Звезда
02.04.2017,14:00,Рубин,Зенит,0:2 (0:2),КазаньКазань-Арена
01.04.2017,17:30,Арсенал,Томь,3:0 (1:0),ТулаСтадион Арсенал
01.04.2017,17:00,ФК Уфа,Локомотив,0:1 (0:1),УфаСтадион Нефтяник
31.03.2017,19:30,Анжи,Урал,2:3 (0:1),КаспийскАнжи-Арена
19.03.2017,19:30,Зенит,Арсенал,2:0 (0:0),Санкт-ПетербургСтадион Петровский
19.03.2017,16:30,Терек,ЦСКА,0:1 (0:1),ГрозныйСтадион им. А.А. Кадырова
19.03.2017,16:30,ФК Краснодар,ФК Уфа,0:0,КраснодарСтадион ФК Краснодар
19.03.2017,15:00,Крылья Советов,ФК Ростов,0:0,СамараСтадион Металлург
18.03.2017,16:30,Локомотив,Спартак,1:1 (1:0),МоскваСтадион Локомотив
18.03.2017,16:00,Урал,Рубин,1:0 (1:0),ЕкатеринбургСКБ-Банк Арена
18.03.2017,15:30,Томь,Амкар,1:0 (1:0),ТомскСтадион Труд
17.03.2017,19:00,Анжи,ФК Оренбург,1:0 (0:0),КаспийскАнжи-Арена
13.03.2017,19:30,Локомотив,ФК Краснодар,1:2 (1:0),МоскваСтадион Локомотив
12.03.2017,19:00,ФК Ростов,Терек,0:0,Ростов-на-ДонуСтадион Олимп-2
12.03.2017,16:30,Спартак,Анжи,1:0 (0:0),МоскваОткрытие Арена
12.03.2017,13:30,Амкар,Зенит,1:0 (1:0),ПермьСтадион Звезда
11.03.2017,16:30,Рубин,ФК Оренбург,0:0,КазаньЦентральный стадион
11.03.2017,14:00,ЦСКА,Томь,4:0 (3:0),МоскваАрена ЦСКА
11.03.2017,13:30,ФК Уфа,Крылья Советов,1:0 (1:0),УфаСтадион Нефтяник
10.03.2017,19:00,Арсенал,Урал,2:0 (1:0),ТулаСтадион Арсенал
06.03.2017,19:30,Анжи,Рубин,0:1 (0:0),КаспийскАнжи-Арена
05.03.2017,19:00,Терек,ФК Уфа,0:1 (0:0),ГрозныйСтадион им. А.А. Кадырова
05.03.2017,16:30,ФК Краснодар,Спартак,2:2 (1:1),КраснодарСтадион ФК Краснодар
05.03.2017,16:00,Крылья Советов,Локомотив,0:3 (0:0),УфаСтадион Нефтяник
