Дата,Время,Команда_1,Команда_2,счёт,стадион
26.05.2019,16:00,ФК Оренбург ,Спартак,2:0 (1:0),ОренбургСтадион Газовик
26.05.2019,14:00,Анжи ,Урал,0:2 (0:0),КаспийскАнжи-Арена
26.05.2019,14:00,Ахмат ,ФК Ростов,1:0 (1:0),ГрозныйАхмат-Арена
26.05.2019,14:00,Динамо ,Арсенал,3:3 (2:1),МоскваСтадион Динамо
26.05.2019,14:00,Зенит ,Енисей,4:1 (1:0),Санкт-ПетербургГазпром Арена
26.05.2019,14:00,Локомотив ,ФК Уфа,1:0 (1:0),МоскваРЖД Арена
26.05.2019,14:00,ФК Краснодар ,Рубин,1:0 (0:0),КраснодарСтадион ФК Краснодар
26.05.2019,14:00,ЦСКА ,Крылья Советов,6:0 (1:0),МоскваАрена ЦСКА
20.05.2019,19:00,Рубин ,Анжи,0:0,КазаньКазань-Арена
19.05.2019,19:00,ФК Ростов ,Зенит,1:0 (0:0),Ростов-на-ДонуРостов-Арена
19.05.2019,18:00,Енисей ,Динамо,2:2 (1:1),КрасноярскЦентральный стадион олимпийского резерва
19.05.2019,16:30,Арсенал ,ФК Краснодар,0:3 (0:0),ТулаСтадион Арсенал
19.05.2019,13:30,Урал ,Локомотив,2:2 (1:1),ЕкатеринбургЕкатеринбург-Арена
18.05.2019,20:00,Крылья Советов ,Спартак,1:2 (0:1),СамараСамара-Арена
18.05.2019,16:30,ЦСКА ,Ахмат,1:0 (0:0),МоскваАрена ЦСКА
18.05.2019,16:00,ФК Уфа ,ФК Оренбург,0:2 (0:1),УфаСтадион Нефтяник
12.05.2019,19:00,Зенит ,ЦСКА,3:1 (1:1),Санкт-ПетербургГазпром Арена
12.05.2019,16:30,Спартак ,ФК Уфа,1:0 (1:0),МоскваОткрытие Арена
11.05.2019,18:00,Енисей ,ФК Краснодар,0:4 (0:2),КрасноярскЦентральный стадион олимпийского резерва
11.05.2019,16:30,Ахмат ,Крылья Советов,2:1 (2:1),ГрозныйАхмат-Арена
10.05.2019,19:00,Локомотив ,Рубин,4:0 (2:0),МоскваРЖД Арена
10.05.2019,16:30,Анжи ,Арсенал,0:1 (0:1),КаспийскАнжи-Арена
10.05.2019,14:00,Динамо ,ФК Ростов,0:0,ХимкиАрена Химки
10.05.2019,13:30,ФК Оренбург ,Урал,2:2 (0:0),ОренбургСтадион Газовик
05.05.2019,19:00,ФК Ростов ,ФК Краснодар,1:1 (0:1),Ростов-на-ДонуРостов-Арена
05.05.2019,16:30,ЦСКА ,Динамо,2:2 (1:2),МоскваАрена ЦСКА
05.05.2019,15:00,Крылья Советов ,ФК Уфа,1:1 (1:0),СамараСамара-Арена
04.05.2019,19:00,Арсенал ,Локомотив,2:0 (1:0),ТулаСтадион Арсенал
04.05.2019,16:30,Ахмат ,Зенит,1:1 (0:0),ГрозныйАхмат-Арена
04.05.2019,16:00,Урал ,Спартак,0:1 (0:0),ЕкатеринбургЕкатеринбург-Арена
03.05.2019,18:00,Енисей ,Анжи,3:1 (0:1),КрасноярскЦентральный стадион олимпийского резерва
03.05.2019,16:30,Рубин ,ФК Оренбург,2:0 (1:0),КазаньКазань-Арена
29.04.2019,19:30,Спартак ,Рубин,1:1 (1:0),МоскваОткрытие Арена
29.04.2019,19:00,ФК Оренбург ,Арсенал,1:1 (0:0),ОренбургСтадион Газовик
28.04.2019,19:00,ФК Краснодар ,ЦСКА,2:0 (1:0),КраснодарСтадион ФК Краснодар
28.04.2019,16:30,Зенит ,Крылья Советов,4:2 (3:2),Санкт-ПетербургГазпром Арена
28.04.2019,14:00,Локомотив ,Енисей,2:1 (0:0),МоскваРЖД Арена
28.04.2019,13:30,ФК Уфа ,Урал,4:1 (1:1),УфаСтадион Нефтяник
27.04.2019,19:00,Динамо ,Ахмат,0:0,ХимкиАрена Химки
27.04.2019,16:30,Анжи ,ФК Ростов,1:1 (0:1),КаспийскАнжи-Арена
25.04.2019,20:30,Арсенал ,Спартак,3:0 (3:0),ТулаСтадион Арсенал
25.04.2019,20:00,Енисей ,ФК Оренбург,2:1 (1:0),КрасноярскЦентральный стадион олимпийского резерва
25.04.2019,19:30,Крылья Советов ,Урал,0:1 (0:0),СамараСамара-Арена
24.04.2019,21:00,Зенит ,Динамо,2:0 (0:0),Санкт-ПетербургГазпром Арена
24.04.2019,19:30,Рубин ,ФК Уфа,1:1 (0:1),КазаньКазань-Арена
24.04.2019,19:30,ЦСКА ,Анжи,2:0 (1:0),МоскваАрена ЦСКА
24.04.2019,19:00,Ахмат ,ФК Краснодар,1:1 (1:0),ГрозныйАхмат-Арена
24.04.2019,19:00,ФК Ростов ,Локомотив,1:2 (1:1),Ростов-на-ДонуРостов-Арена
21.04.2019,19:00,Спартак ,Енисей,2:0 (1:0),МоскваОткрытие Арена
21.04.2019,18:30,Урал ,Рубин,2:1 (1:1),ЕкатеринбургЕкатеринбург-Арена
20.04.2019,21:00,ФК Краснодар ,Зенит,2:3 (1:1),КраснодарСтадион ФК Краснодар
20.04.2019,19:00,Локомотив ,ЦСКА,1:1 (1:1),МоскваРЖД Арена
20.04.2019,16:30,Динамо ,Крылья Советов,1:0 (0:0),ХимкиАрена Химки
20.04.2019,16:00,ФК Оренбург ,ФК Ростов,3:0 (1:0),ОренбургСтадион Газовик
20.04.2019,13:30,ФК Уфа ,Арсенал,1:2 (1:2),УфаСтадион Нефтяник
19.04.2019,19:30,Анжи ,Ахмат,0:1 (0:0),КаспийскАнжи-Арена
14.04.2019,19:00,ФК Ростов ,Спартак,2:1 (1:1),Ростов-на-ДонуРостов-Арена
14.04.2019,16:30,Зенит ,Анжи,5:0 (2:0),Санкт-ПетербургГазпром Арена
14.04.2019,14:00,Динамо ,ФК Краснодар,1:1 (0:0),ХимкиАрена Химки
13.04.2019,19:30,Ахмат ,Локомотив,1:3 (0:1),ГрозныйАхмат-Арена
13.04.2019,15:30,Енисей ,ФК Уфа,0:0,КрасноярскЦентральный стадион олимпийского резерва
13.04.2019,14:00,Арсенал ,Урал,0:0,ТулаСтадион Арсенал
13.04.2019,14:00,ЦСКА ,ФК Оренбург,2:3 (2:2),МоскваАрена ЦСКА
12.04.2019,19:30,Крылья Советов ,Рубин,1:0 (0:0),СамараСамара-Арена
08.04.2019,19:00,ФК Оренбург ,Ахмат,1:3 (1:1),ОренбургСтадион Газовик
07.04.2019,19:00,Локомотив ,Зенит,1:1 (0:0),МоскваРЖД Арена
07.04.2019,16:30,Рубин ,Арсенал,0:0,КазаньКазань-Арена
